STATE,CONSTITUENCY,PARTY,POSITION,CANDIDATE_NAME,PWD,AGE,GENDER,QUALIFICATIONS,REMARKS
AKWA IBIOM,AKWA IBOM NORTH WEST,A,Senate,INYANG PEACE MARTINS,None,38,F,FSLC SSC,
AKWA IBIOM,AKWA IBOM SOUTH,A,Senate,UGANA ESTHER ARTHUR,None,43,F,SSC,
AKWA IBIOM,AKWA IBOM NORTH EAST,A,Senate,NDEM IME EDEM HOSANNA,None,49,M,,
AKWA IBIOM,AKWA IBOM NORTH EAST,AA,Senate,ANDEM CALISTUS,None,38,M,F.L.S.C WAEC,
AKWA IBIOM,AKWA IBOM NORTH WEST,AA,Senate,ESHIET ETIUWEM NNAMNSO,None,39,M,F.L.S.C WAEC HND,
AKWA IBIOM,AKWA IBOM SOUTH,AA,Senate,UMOH BLESSING UMOH,None,38,F,F.L.S.C WAEC,
AKWA IBIOM,AKWA IBOM NORTH EAST,AAC,Senate,UDOFIA VICTOR AMAITEM,None,57,M,FSLC WAEC BSC,
AKWA IBIOM,AKWA IBOM NORTH WEST,AAC,Senate,MBAT UBONG HANSON,None,35,M,,
AKWA IBIOM,AKWA IBOM NORTH WEST,ADC,Senate,ENGR RAPHAEL EDWIN AMOS,None,58,M,FLSC SSCE BSC,
AKWA IBIOM,AKWA IBOM SOUTH,ADC,Senate,"VICTOR UMOH,OKON",None,43,M,,
AKWA IBIOM,AKWA IBOM NORTH EAST,ADC,Senate,IBOKETTE PRINCESS VICTORIA MATADI,None,45,F,"FIRST SCHOOL LEAVING CERTIFICATE WEST,AFRICAN SCHOOL CERTIFICATE",
AKWA IBIOM,AKWA IBOM NORTH WEST,ADP,Senate,AKPAN THURSDAY TIM,None,55,M,FLSC SCHOOL WASC B.SC,
AKWA IBIOM,AKWA IBOM SOUTH,ADP,Senate,BASSY BASSY MONDAY,None,56,M,FLSC SCHOOL WASC B.SC BUSINESS ADMINISTRATION,
AKWA IBIOM,AKWA IBOM NORTH EAST,ADP,Senate,EKONG UBONG EMMANUEL,None,39,M,FLSC NECO,
AKWA IBIOM,AKWA IBOM NORTH WEST,APC,Senate,AKPABIO GODSWILL OBOT,None,59,M,FSLC GCE LLB BL,COURT ORDER
AKWA IBIOM,AKWA IBOM SOUTH,APC,Senate,UDO-INYANG MARTYNS DENIS,None,64,M,FIRST SCHOOL LEAVING CERTIFICATE SSCE MASTER OF BUSINESS ADMINISTRATION,
AKWA IBIOM,AKWA IBOM NORTH EAST, APC,Senate,UKPONG EMAEYAK NKANGA,None,66,M,FIRST SCHOOL LEAVING CERTIFICATE WAEC BSC,
AKWA IBIOM,AKWA IBOM NORTH WEST,APGA,Senate,AKPAETOR AUGUSTINE AUGUSTINE,None,36,M,FSLC WASSCE B.SC,
AKWA IBIOM,AKWA IBOM NORTH EAST,APGA,Senate,ESSIEN BASSEY EDET,None,62,M,FSLC O LEVEL GCELL.B/BL,
AKWA IBIOM,AKWA IBOM NORTH EAST,APM,Senate,JUMBO OTO-OBONG DANIEL,None,42,M,FIRST SCHOOL LEAVING CERTIFICATE WAEC BSC,
AKWA IBIOM,AKWA IBOM NORTH EAST,LP,Senate,EKPEYONG LEO ENOBONG,None,39,M,FSLC SSCE B. Sc,
AKWA IBIOM,AKWA IBOM NORTH WEST,LP,Senate,OKPONGETE NSEOBONG NSEOBONG,None,53,F,FSLC SSCE/GCE B.ED,
AKWA IBIOM,AKWA IBOM SOUTH,LP,Senate,ESSIEN DOMINIC UBONG HENRY,None,47,M,FSLC SSCE B.A,
