"142","FINAL LIST OF CANDIDATES FOR NATIONAL ELECTIONS - (PRESIDENTIAL, SENATORIAL AND HOUSE OF REPRESENTATIVES)","","","","","","","","",""
"","Abia State","","","","","","","","",""
"143","FINAL LIST OF CANDIDATES FOR NATIONAL ELECTIONS - (PRESIDENTIAL, SENATORIAL AND HOUSE OF REPRESENTATIVES)","","","","","","","","",""
"S/N","STATE","CONSTITUENCY","NAME OF CANDIDATE","PARTY","PWD","AGE","GENDER","QUALIFICATION","REMARKS",""
"1","ABIA","Aba North/Aba South","PETERS CHIAMAKA","ADC","None","32","F","FLSC SSCE HND","",""
"2","","Aba North/Aba South","IKWECHEGH ALEXANDER","APGA","None","41","M","FIRST SCHOOL LEAVING","",""
"","","","IFEANYI","","","","","CERTIFICATE WASSCE","",""
"3","","Aba North/Aba South","OKOROAFOR CHRISTOPHER","APP","None","45","M","FSLC NECO","",""
"","","","IGBOKO","","","","","","",""
"4","","Aba North/Aba South","EMEKA SUNDAY NNAMANI","LP","None","49","M","FSLC WASC/GCE","",""
"5","","Aba North/Aba South","MBAH JONAH","NNPP","None","46","M","PRIMARY LEAVING","",""
"","","","","","","","","CERTIFICATE WAEC","",""
"6","","Aba North/Aba South","EGWU UDE NDUKWE","NRM","None","45","M","FIRST SCHOOL LEAVING","",""
"","","","","","","","","CERTIFICATE WAEC B.SC","",""
"7","","Aba North/Aba South","EBISIKE CHIMAOBI","PDP","None","44","M","FSLC NECO","",""
"","","","IHEANYICHUKWU","","","","","","",""
"8","ABIA","Aba North/Aba South","NWOSU EMEKA JOSEPH","SDP","None","46","M","PRIMARY SCHOOL CERT","",""
"","","","","","","","","SECONDARY SCHOOL","",""
"","","","","","","","","CERT","",""
"","","","","","","","","BSC (HONs)","",""
"9","","Aba North/Aba South","AHUKANNA","YPP","None","46","M","FSLC NECO","",""
"","","","MADUABUGHICHI","","","","","","",""
"10","","Arochukwu/Ohafia","NDUKWE OBUBA NDUKWE","AA","None","49","M","F.L.S.C WAEC B.SC","",""
"11","","Arochukwu/Ohafia","SUNDAY OKEREKE","ADC","None","51","F","FLSC SSCE PHD","",""
"","","","ROSEMERIT","","","","","","",""
"12","","Arochukwu/Ohafia","OKEKE CHIMEZIE","APC","None","51","M","WAEC BSc","",""
"13","","Arochukwu/Ohafia","OREH OKUJI ONUMA","APGA","None","45","M","FSLC WASSCE B.Sc","",""
"","","","","","","","","Accountancy, M.Sc Corporate","",""
"","","","","","","","","Governance, PHD Economics","",""
"14","","Arochukwu/Ohafia","ONWUMERE DOROTHY","APM","None","52","F","FIRST SCHOOL LEAVING","",""
"","","","CHINNAYA","","","","","CERTIFICATE WAEC","",""
"15","ABIA","Arochukwu/Ohafia","ARUNSI ARUA PRINCE","APP","None","65","M","FSLC LONDON GCE O","",""
"","","","","","","","","LEVEL","",""
"16","","Arochukwu/Ohafia","IDIKA FRED EKE","NNPP","None","54","M","PRIMARY CERTIFICATE","",""
"","","","","","","","","WAEC BSc,MSc.","",""
"17","","Arochukwu/Ohafia","OLUGU  BORIS JOHN","NRM","None","45","M","FIRST SCHOOL LEAVING","",""
"","","","","","","","","CERTIFICATE WAEC B.A,","",""
"","","","","","","","","M.A, PHD","",""
"18","","Arochukwu/Ohafia","UCHENDU IFEANYI FRANCIS","PDP","None","47","M","FSLC WAEC BSC","",""
"","","","IDIKA","","","","","","",""
"19","","Arochukwu/Ohafia","OMEREONYE CHIGOZIE","SDP","None","39","M","PRIMARY SCHOOL CERT","",""
"","","","","","","","","SECONDARY SCHOOL","",""
"","","","","","","","","CERT, HND","",""
"20","","Arochukwu/Ohafia","UKWA STEPHEN UKPAI","YPP","None","34","M","FSLC WASSCE BSC","",""
"21","","Bende","KALU KELECHI","ADC","None","34","M","FLSC WAEC BSC","",""
"22","ABIA","Bende","KALU BENJAMIN OKEZIE","APC","None","51","M","First School Leaving","",""
"","","","","","","","","Certificate WAEC BSc","",""
"23","","Bende","MBAKWE  CHIBUISI","APGA","None","56","M","FSLC WASSCE BACHELOR OF","",""
"","","","","","","","","ENGINEERING(CHEMICAL)","",""
"","","","LAZARUS","","","","","","",""
"24","","Bende","JAMES OBIOMA NELSON N.","APM","None","41","M","FIRST SCHOOL LEAVING","",""
"","","","","","","","","CERTIFICATE WAEC/GCE","",""
"","","","","","","","","BSC","",""
"25","","Bende","KWUBIRI SAMUEL OKORIE","APP","None","37","M","FSLC SSCE BSC","",""
"26","","Bende","CHINASA IHEANU FRANK","LP","None","51","M","FSLC SSCE M.SC","",""
"27","","Bende","ANOSIKE AMAGHUWA","NNPP","None","45","M","PRIMARY LEAVING","",""
"","","","","","","","","CERTIFICATE WAEC","",""
"28","","Bende","ELENDU UKEJE  NNENNA","PDP","None","52","F","GCE BA","",""
"","","","IJEOMA LISELI","","","","","","",""
"29","ABIA","Bende","ELDER NWOSU NDUBUISI","SDP","None","49","M","PRIMARY SCHOOL CERT","",""
"","","","","","","","","SECONDARY SCHOOL","",""
"","","","","","","","","CERT","",""
"30","","Bende","OGBONNAYA","YPP","None","56","M","FSLC WASSCE","",""
"","","","CHUKWUEMEKA MBA","","","","","","",""
"31","","Isiala Ngwa North /","MICHEAL CHINYERE","ADC","None","50","M","FLSC WAEC LAB","",""
"","","Isiala Ngwa South","","","","","","TECHNICIAN","",""
"32","","Isiala Ngwa North /","IKPO CHIJIOKE","APC","None","49","M","First School Leaving","",""
"","","Isiala Ngwa South","CHUKWUEMEKA","","","","","Certificate WAEC","",""
"33","","Isiala Ngwa North /","AKPULUO MAGNUS EMEKA","APGA","None","46","M","FIRST SCHOOL LEAVING","",""
"","","Isiala Ngwa South","","","","","","CERTIFICATE WASSCE","",""
"34","","Isiala Ngwa North /","UZOECHI DAVIDSON","APM","None","43","M","FIRST SCHOOL","",""
"","","Isiala Ngwa South","UCHENNA","","","","","LEAVING CERTIFICATE","",""
"","","","","","","","","SSCE BACHELOR OF","",""
"","","","","","","","","ENGINEERING","",""
"35","","Isiala Ngwa North /","ALILIONWU VINCENT AZU","APP","None","66","M","F.S.L.C","",""
"","","Isiala Ngwa South","","","","","","","",""
