"S/N","STATE","CONSTITUENCY","PARTY","POSITION","CANDIDATE_NAME","PWD","AGE","GENDER","QUALIFICATIONS","REMARKS"
"1","ABIA","ABIA CENTRAL","AA","Senate","UBANI IHEANYICHUKWU","None","51","M","WAEC HND",""
"2","ABIA","ABIA SOUTH","AAC","Senate","NWANKWO GODSWILL","None","48","M","FSLC WAEC DEGREE",""
"","","","","","CHINYERE","","","","",""
"3","ABIA","ABIA NORTH","ADC","Senate","EMETU MARTINS","None","72","M","FLSC SSCE DEGREE",""
"4","ABIA","ABIA CENTRAL","ADC","Senate","JOHN ABRAHAM, GODSON","None","51","M","SCHOOL LEAVING,CERTIFICATE WASC",""
"5","ABIA","ABIA SOUTH","ADC","Senate","EDEDE OKEY","None","58","M","FLSC SSCE DEGREE",""
"6","ABIA","ABIA SOUTH","ADP","Senate","WOKOLEME  IKECHUKWU","None","50","M","FSLC",""
"","","","","","DAVID AJUZIE","","","","",""
"7","ABIA","ABIA SOUTH","APC","Senate","NWAGBA BLESSING","None","63","F","First School Leaving,Certificate WAEC PHD",""
"8","ABIA","ABIA NORTH","APC","Senate","KALU ORJI UZOR","None","62","M","First School Leaving,Certificate WAEC BSc",""
"9","ABIA","ABIA CENTRAL","APGA","Senate","NWEKE  EMMANUEL","None","63","M","FIRST SCHOOL,LEAVING CERTIFICATE, WASSCE DEGREE, M.Sc",""
"10","ABIA","ABIA NORTH","APGA","Senate","DIKE- OKORAFOR  CAROL","None","74","F","FIRST SCHOOL, BALUEKAM, LEAVING CERTIFICATE, WASSCE BACHELOR,OF LAWS (LLB)",""
"11","ABIA","ABIA SOUTH","APGA","Senate","ABARIBE ENYINNAYA","None","67","M","WASSCE, HARCOURT, B.Sc(ECONS), M.Sc(ECONS)",""
"12","ABIA","ABIA NORTH","APM","Senate","NWOSU EMMANUELA","None","53","F","FIRST SCHOOL, LEAVING CERTIFICATE,WAEC",""
"13","ABIA","ABIA CENTRAL","APP","Senate","NDUKA CHIJIOKE TIMOTHY","None","40","M","FSLC SSCE",""
"14","ABIA","ABIA SOUTH","APP","Senate","KANU SIGNOR NDUBUEZE","None","50","M","FSLC SSCE BSC",""
"","","","","","CHUKWUEMEKA","","","","",""
"15","ABIA","ABIA NORTH","APP","Senate","ADIJEH IFEANYICHUKWU","None","48","M","FSLC SSCE BSC",""
"","","","","","KINGSLEY","","","","",""
","COURT"
"16","ABIA","ABIA CENTRAL","LP","Senate","DARLINGTON NWOKOCHA","","","","",""
","ORDER"
"17","ABIA","ABIA NORTH","LP","Senate","IRO-OJI NNAMDI","None","53","M","FSLC  Degree",""
"18","ABIA","ABIA SOUTH","LP","Senate","ONYEIZU CHINEDU","None","41","M","FSLC WAEC Degree",""
"","","","","","CHIMAEZE","","","","",""
"19","ABIA","ABIA CENTRAL","NNPP","Senate","AIYELABEGAN KAYODE","None","67","M","PRIMARY LEAVING",""
"","","","","","ABDUL","","","","CERTIFICATE WAEC",""
"20","ABIA","ABIA NORTH","NNPP","Senate","SAIDU AHMED","None","36","M","PRIMARY LEAVING",""
CERTIFICATE WAEC",""
"21","ABIA","ABIA SOUTH","NNPP","Senate","IHEZIE OBINNA DESMOND","None","89","M","PRIMARY LEAVING",""
CERTIFICATE WAEC",""
"22","ABIA","ABIA CENTRAL","NRM","Senate","IBEKWE KENNRY CHIMEZIE","None","53","M","WAEC HIGHER",""
"","","","","","OLEKANMA","","","","NATIONAL DIPLOMA",""
(HND)",""
"23","ABIA","ABIA SOUTH","NRM","Senate","ULU JOSEPH","None","36","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SENIOR SECONDARY",""
CERTIFICATE",""
EXAMINATION BSC",""
"","","","","","","Visually","","","",""
"24","ABIA","ABIA NORTH","NRM","Senate","WOGU CHINOYEREM","","56","M","FIRST SCHOOL",""
"","","","","","","Impaired","","","",""
LEAVING CERTIFICATE",""
SSCE BA",""
"25","ABIA","ABIA NORTH","PDP","Senate","OHUABUNWA MAO","None","65","M","WAEC HND, PGD",""
"","","","","","ARUKWE","","","","",""
"26","ABIA","ABIA SOUTH","PDP","Senate","IKPEAZU OKEZIE VICTOR","None","57","M","FSLC WAEC PHD",""
"27","ABIA","ABIA CENTRAL","PDP","Senate","AKOBUNDU AUGUSTINE","None","66","M","GCE DIPLOMA",""
"","","","","","OKWUDIRI","","","","",""
"28","ABIA","ABIA NORTH","SDP","Senate","ECHEWE UCHE BROWN","None","46","M","PRIMARY SCHOOL",""
CERT SECONDARY",""
SCHOOL CERT",""
"29","ABIA","ABIA SOUTH","SDP","Senate","UZOIGWE KENNETH","None","42","M","PRIMARY SCHOOL",""
CERT SECONDARY",""
SCHOOL CERT",""
"30","ABIA","ABIA CENTRAL","SDP","Senate","NWOSU PATRICK","None","37","M","PRIMARY SCHOOL",""
CERT SECONDARY",""
SCHOOL CERT HND",""
"31","ABIA","ABIA CENTRAL","YPP","Senate","WACHUKU CHUKUMERE","None","77","M","SSCE BSC",""
"32","ABIA","ABIA SOUTH","YPP","Senate","NWANKWO EZENWA DON","None","51","M","WAEC BSC",""
"","","","","","ALAOMA","","","","",""
"33","ABIA","ABIA NORTH","YPP","Senate","IGWE AHANNA 0RJI","None","43","M","G.E.D, USA  BSC",""
"33","ADAMAWA","ADAMAWA","ADC","Senate","BUTU ALIYU","None","42","M","FIRST SCHOOL",""
"","","CENTRAL","","","","","","","LEAVING CERTIFICATE",""
SSCE HND",""
"34","ADAMAWA","ADAMAWA","ADC","Senate","DANRIMI UMARU","None","67","M","FIRST SCHOOL",""
"","","SOUTH","","","SULEIMAN","","","","LEAVING CERTIFICATE",""
COC ADPA",""
"35","ADAMAWA","ADAMAWA","ADC","Senate","AHMED USMAN","None","49","M","FIRST SCHOOL",""
"","","NORTH","","","","","","","LEAVING CERTIFICATE",""
WACE BSC",""
"36","ADAMAWA","ADAMAWA","APC","Senate","ISHAKU ELISHA CLIFF","None","42","M","FIRST SCHOOL",""
"","","NORTH","","","","","","","LEAVING",""
CERTIFICATE NECO-",""
SSCE B.SC BUSINESS",""
ADMINISTRATION",""
"37","ADAMAWA","ADAMAWA","APC","Senate","ISMAILA ADAMU","None","65","M","PRIMARY",""
"","","SOUTH","","","","","","","CERTIFICATE",""
WASC B.ENG CIVIL",""
ENGINEER",""
"38","ADAMAWA","ADAMAWA","APC","Senate","NYAKO ABDUL-AZIZ","None","52","M","WAEC NDA",""
"","","CENTRAL","","","MURTALA","","","","",""
"39","ADAMAWA","ADAMAWA","LP","Senate","NGURIKAN JESSE SETH","None","66","M","FSLC SSCE",""
"","","SOUTH","","","","","","","",""
"40","ADAMAWA","ADAMAWA","LP","Senate","ADAMU SAIDU ISMAILA","None","58","M","FIRST SCHOOL",""
"","","CENTRAL","","","","","","","LEAVING CERTIFICATE",""
SSCE B. Sc",""
"41","ADAMAWA","ADAMAWA","LP","Senate","ADAMU MOHAMMED","None","44","M","FIRST SCHOOL",""
"","","NORTH","","","","","","","LEAVING CERTIFICATE",""
SSCE",""
"42","ADAMAWA","ADAMAWA","NNPP","Senate","HAMMAN AHMADU","None","39","M","PRIMARY SCHOOL",""
"","","CENTRAL","","","","","","","CERTIFICATE SSCE",""
"43","ADAMAWA","ADAMAWA","NNPP","Senate","SASHI BERYL NZOBYARA","None","59","F","PRIMARY SCHOOL",""
"","","SOUTH","","","","","","","LEAVING CERTIFICATE",""
SSCE MASTERS",""
"44","ADAMAWA","ADAMAWA","NNPP","Senate","BELEL ABDULLAHI DAUDA","None","54","M","PRIMARY SCHOOL",""
"","","NORTH","","","","","","","CERTIFICATE SSCE",""
BACHELOR DEGREE,",""
MASTERS",""
"45","ADAMAWA","ADAMAWA","NRM","Senate","MUKTAR BELLOW HAYATU","None","47","M","FIRST SCHOOL",""
"","","SOUTH","","","","","","","LEAVING CERTIFICATE",""
SSCE DIPLOMA",""
"46","ADAMAWA","ADAMAWA","NRM","Senate","SAAD NUHU","None","49","M","FRIST SCHOOL",""
"","","CENTRAL","","","","","","","LEAVING CERTIFICATE",""
NATIONAL TEACHERS",""
INSTITUTE",""
"47","ADAMAWA","ADAMAWA","NRM","Senate","GRACE  EZRA","None","39","F","FIRST SCHOOL",""
"","","NORTH","","","","","","","LEAVING CERTIFICATE",""
WEST AFRICAN",""
SCHOOL CERTIFICATE",""
"48","ADAMAWA","ADAMAWA","PDP","Senate","ABBAS AMINU IYA","None","49","M","G.C.E. BSc.",""
"","","CENTRAL","","","","","","","",""
"49","ADAMAWA","ADAMAWA","PDP","Senate","YAROE BINOS DAUDA","None","67","M","FSLC SSCE B.A",""
"","","SOUTH","","","","","","","",""
"50","ADAMAWA","ADAMAWA","PDP","Senate","YOHANNA AMOS KUMAI","None","61","M","FSLC G.C.E. DIPLOMA",""
"","","NORTH","","","","","","","",""
"51","ADAMAWA","ADAMAWA","PRP","Senate","MEDUGU ZAKARIYA","None","56","M","certificate of primary",""
"","","NORTH","","","JOSHUA","","","","education SENIOR",""
SCHOOL CERTIFICATE",""
EXAMINATION",""
B,sc Business",""
Administration(Banking",""
and Finance) UNIMAID",""
"52","ADAMAWA","ADAMAWA","PRP","Senate","DAHIRU AMINU ABUBAKAR","None","57","M","CERTIFICATE OF",""
"","","CENTRAL","","","","","","","PRIMARY EDUCATION",""
GENERAL",""
CERTIFICATE",""
OF EDUCATION",""
DIPLOMA IN SHARIA",""
AND CIVIL LAW",""
"53","ADAMAWA","ADAMAWA","PRP","Senate","NURUDDEN ADAM NYAKO","None","44","M","PRIMARY SCHOOL",""
"","","SOUTH","","","","","","","CERTIFICATE SENIOR",""
SCHOOL CERTIFICATE",""
EXAMINATION",""
B,sc BANKING AND",""
FINANCE UNIMAID",""
"54","ADAMAWA","ADAMAWA","SDP","Senate","AHMED HADIZA","None","46","F","PRIMARY SCHOOL",""
"","","NORTH","","","","","","","CERT SENIOR",""
SCHOOL CERTIFICATE",""
BSC (HONs)",""
"55","ADAMAWA","ADAMAWA","SDP","Senate","AHIJO KARLAHI IBRAHIM","None","36","M","FIRST SCHOOL",""
"","","CENTRAL","","","","","","","LEAVING CERT",""
SECONDARY SCHOOL",""
CERT (NECO) BSC",""
(HONs) BUSINESS",""
MANAGEMENT",""
"56","ADAMAWA","ADAMAWA","SDP","Senate","WILLIAMS BURKE GHATE","None","39","M","PRIMARY SCHOOL",""
"","","SOUTH","","","","","","","CERT SSCE M. Sc.",""
"57","ADAMAWA","ADAMAWA","YPP","Senate","BAWA  SIMON","None","44","M","FSLC SSCE",""
"58","AKWA IBOM","AKWA IBOM","A","Senate","INYANG PEACE MARTINS","None","38","F","FSLC SSC",""
"","","NORTH WEST","","","","","","","",""
"59","AKWA IBOM","AKWA IBOM","A","Senate","UGANA ESTHER ARTHUR","None","43","F","SSC",""
"","","SOUTH","","","","","","","",""
"60","AKWA IBOM","AKWA IBOM","A","Senate","NDEM IME EDEM","None","49","M","",""
"","","NORTH EAST","","","HOSANNA","","","","",""
"61","AKWA IBOM","AKWA IBOM","AA","Senate","ANDEM CALISTUS","None","38","M","F.L.S.C WAEC",""
"","","NORTH EAST","","","","","","","",""
"62","AKWA IBOM","AKWA IBOM","AA","Senate","ESHIET ETIUWEM","None","39","M","F.L.S.C WAEC HND",""
"","","NORTH WEST","","","NNAMNSO","","","","",""
"63","AKWA IBOM","AKWA IBOM","AA","Senate","UMOH BLESSING UMOH","None","38","F","F.L.S.C WAEC",""
"","","SOUTH","","","","","","","",""
"64","AKWA IBOM","AKWA IBOM","AAC","Senate","UDOFIA VICTOR AMAITEM","None","57","M","FSLC WAEC BSC",""
"","","NORTH EAST","","","","","","","",""
"65","AKWA IBOM","AKWA IBOM","AAC","Senate","MBAT UBONG HANSON","None","35","M","",""
"","","NORTH WEST","","","","","","","",""
"66","AKWA IBOM","AKWA IBOM","ADC","Senate","ENGR RAPHAEL  EDWIN","None","58","M","FLSC SSCE BSC",""
"","","NORTH WEST","","","AMOS","","","","",""
"67","AKWA IBOM","AKWA IBOM","ADC","Senate","VICTOR UMOH, OKON","None","43","M","",""
"","","SOUTH","","","","","","","",""
"68","AKWA IBOM","AKWA IBOM","ADC","Senate","IBOKETTE PRINCESS","None","45","F","FIRST SCHOOL",""
"","","NORTH EAST","","","VICTORIA MATADI","","","","LEAVING CERTIFICATE",""
WEST AFRICAN",""
SCHOOL CERTIFICATE",""
"69","AKWA IBOM","AKWA IBOM","ADP","Senate","AKPAN THURSDAY TIM","None","55","M","FLSC SCHOOL WASC",""
"","","NORTH WEST","","","","","","","B.SC",""
"70","AKWA IBOM","AKWA IBOM","ADP","Senate","BASSY BASSY MONDAY","None","56","M","FLSC SCHOOL WASC",""
"","","SOUTH","","","","","","","B.SC BUSINESS",""
ADMINISTRATION",""
"71","AKWA IBOM","AKWA IBOM","ADP","Senate","EKONG UBONG","None","39","M","FLSC NECO",""
"","","NORTH EAST","","","EMMANUEL","","","","",""
"72","AKWA IBOM","AKWA IBOM","APC","Senate","AKPABIO GODSWILL OBOT","None","59","M","FSLC GCE LLB BL","COURT"
"","","NORTH WEST","","","","","","","","ORDER"
"73","AKWA IBOM","AKWA IBOM","APC","Senate","UDO-INYANG MARTYNS","None","64","M","FIRST SCHOOL",""
"","","SOUTH","","","DENIS","","","","LEAVING",""
CERTIFICATE SSCE",""
MASTER OF BUSINESS",""
ADMINISTRATION",""
"74","AKWA IBOM","AKWA IBOM","APC","Senate","UKPONG EMAEYAK","None","66","M","FIRST SCHOOL",""
"","","NORTH EAST","","","NKANGA","","","","LEAVING CERTIFICATE",""
WAEC BSC",""
"75","AKWA IBOM","AKWA IBOM","APGA","Senate","AKPAETOR AUGUSTINE","None","36","M","FSLC WASSCE B.SC",""
"","","NORTH WEST","","","AUGUSTINE","","","","",""
"76","AKWA IBOM","AKWA IBOM","APGA","Senate","ESSIEN BASSEY EDET","None","62","M","FSLC O LEVEL GCE",""
"","","NORTH EAST","","","","","","","LL.B/BL",""
"77","AKWA IBOM","AKWA IBOM","APM","Senate","JUMBO OTO-OBONG","None","42","M","FIRST SCHOOL",""
"","","NORTH EAST","","","DANIEL","","","","LEAVING CERTIFICATE",""
WAEC BSC",""
"78","AKWA IBOM","AKWA IBOM","LP","Senate","EKPEYONG LEO ENOBONG","None","39","M","FSLC SSCE B. Sc",""
"","","NORTH EAST","","","","","","","",""
"79","AKWA IBOM","AKWA IBOM","LP","Senate","OKPONGETE NSEOBONG","None","53","F","FSLC SSCE/GCE B.ED",""
"","","NORTH WEST","","","NSEOBONG","","","","",""
"80","AKWA IBOM","AKWA IBOM","LP","Senate","ESSIEN DOMINIC UBONG","None","47","M","FSLC SSCE B.A",""
"","","SOUTH","","","HENRY","","","","",""
"81","AKWA IBOM","AKWA IBOM","NNPP","Senate","BASSEY ABASIAMANAM","None","45","M","PRIMARY",""
"","","NORTH EAST","","","EFFIONG","","","","CERTIFICATE SSCE ND",""
"82","AKWA IBOM","AKWA IBOM","NNPP","Senate","AFIA EKEREOBONG UDO","None","55","M","PRIMARY",""
"","","SOUTH","","","","","","","CERTIFICATE",""
WASC MBA",""
BUSINESS ADMIN.,",""
PGD BUSINESS",""
MANAGEMENT AND",""
ADMINIDTRATION,",""
OND & HND CIVIL",""
ENGINEERING",""
"83","AKWA IBOM","AKWA IBOM","NNPP","Senate","JOHN JULIUS OKON","None","41","M","PRIMARY",""
"","","NORTH WEST","","","","","","","CERTIFICATE SSCE",""
"84","AKWA IBOM","AKWA IBOM","NRM","Senate","EKONG ESEME BASSEY","None","65","M","FIRST SCHOOL",""
"","","NORTH EAST","","","","","","","LEAVING CERTIFICATE",""
WEST AFRICAN",""
SCHOOL CERTIFICATE",""
OND",""
"85","AKWA IBOM","AKWA IBOM","NRM","Senate","UDONKANG AKAMIMO","None","41","M","FIRST SCHOOL",""
"","","NORTH WEST","","","FIDELIS","","","","LEAVING CERTIFICATE",""
(FLSC) SSCE B.SC",""
"86","AKWA IBOM","AKWA IBOM","NRM","Senate","DUFF NSE AKWAOWO","None","36","F","FIRST SCHOOL",""
"","","SOUTH","","","","","","","LEAVING CERTIFICATE",""
WAEC",""
"87","AKWA IBOM","AKWA IBOM","PDP","Senate","ENOIDEM MOSES","None","58","M","FSLC GCE LLB",""
"","","NORTH WEST","","","EMMANUEL","","","","",""
"88","AKWA IBOM","AKWA IBOM","PDP","Senate","AKPAN EKONG SAMPSON","None","55","M","FSLC GCE BL",""
"","","SOUTH","","","","","","","",""
"89","AKWA IBOM","AKWA IBOM","PDP","Senate","BASSEY ANIEKAN ETIM","None","43","M","FSLC SSCE MSC",""
"","","NORTH EAST","","","","","","","",""
"90","AKWA IBOM","AKWA IBOM","SDP","Senate","UDO  GOGWIN ETIM","None","38","M","FSLC SSCE",""
"","","NORTH WEST","","","","","","","",""
"91","AKWA IBOM","AKWA IBOM","SDP","Senate","MOSES  ANIEFIOK EDOHO","None","38","M","FSLC SSCE HND",""
"","","SOUTH","","","","","","","",""
"92","AKWA IBOM","AKWA IBOM","SDP","Senate","EKPE NKEREUWEM SUNDA","None","58","F","FSLC SSCE BSC",""
"","","NORTH EAST","","","","","","","",""
"93","AKWA IBOM","AKWA IBOM","YPP","Senate","INYANG-EYEN EPHRAIM","None","56","M","FSLC WAEC B.SC",""
"","","SOUTH","","","AKPARAWA","","","","",""
"94","AKWA IBOM","AKWA IBOM","YPP","Senate","EKON EMMANUEL","None","50","M","FSLC SSCE BSC",""
"","","NORTH WEST","","","BARTHOLOMEW","","","","",""
"95","AKWA IBOM","AKWA IBOM","YPP","Senate","AKPABIO USENOBONG","None","55","M","FSLC WASSCE BSC",""
"","","NORTH EAST","","","OTU","","","","",""
"96","AKWA IBOM","AKWA IBOM","ZLP","Senate","UMO BLESSING OKON","None","43","F","FIRST SCHOOL",""
"","","SOUTH","","","","","","","LEAVING CERTIFICATE",""
NATIONAL DIPLOMA",""
"97","AKWA IBOM","AKWA IBOM","ZLP","Senate","UMOH NNAMONSO ITUEN","None","47","M","FIRST SCHOOL",""
"","","NORTH EAST","","","","","","","LEAVING CERTIFICATE",""
WEST AFRICAN",""
SCHOOL CERTIFICATE",""
"98","AKWA IBOM","AKWA IBOM","ZLP","Senate","EBIENANG UDO BASSEY","None","62","M","FIRST SCHOOL LEAVING CERTIFICATE WEST AFRICAN ,SCHOOL CERTIFICATE",""
"99","ANAMBRA","ANAMBRA","ADC","Senate","OBIANYO PATRICK,","None","64","M","FIRST SCHOOL",""
"","","CENTRAL","","","IKECHUKWU","","","","LEAVING CERTIFICATE",""
GCE M.SC",""
"100","ANAMBRA","ANAMBRA","ADC","Senate","OBIMUNONSO","None","50","F","PRIMARY SCHOOL",""
"","","NORTH","","","UZOAMAKA, PEACE","","","","CERTIFICATE SSCE",""
B.SC",""
"101","ANAMBRA","ANAMBRA","ADC","Senate","EKWUILO CHARLES, CHIDI","None","42","M","FIRST SCHOOL",""
"","","SOUTH","","","","","","","LEAVING CERTIFICATE",""
WASC HND",""
"102","ANAMBRA","ANAMBRA","APC","Senate","OKELEKWE","None","54","M","WAEC BSc",""
"","","CENTRAL","","","KODILICHUKWU BONIFACE","","","","",""
"103","ANAMBRA","ANAMBRA","APC","Senate","ANAZONWU IFEYINWA","None","67","F","First School Leaving",""
"","","NORTH","","","","","","","Certificate SSCE BSc",""
"104","ANAMBRA","ANAMBRA","APC","Senate","UMEOJI CHUKWUMA","None","55","M","First School Leaving",""
"","","SOUTH","","","MICHAEL","","","","Certificate WAEC BA",""
"105","ANAMBRA","ANAMBRA","APGA","Senate","AZUBOGU CHRIS EMEKA","None","53","M","UMUNNEALAM",""
"","","SOUTH","","","IFEANYI","","","","PRIMARY SCHOOL",""
OKONGWU-NNEWI,",""
ANAMBRA STATE",""
UNIVERSITY OF",""
NIGERIA NSUKKA",""
"106","ANAMBRA","ANAMBRA","APGA","Senate","NWANKWO  FERDINAND","None","46","M","FSLC WAEC B.SC",""
"","","CENTRAL","","","DOZIE","","","","ACCOUNTING",""
"107","ANAMBRA","ANAMBRA","APGA","Senate","OBIANO EBELECHUKWU","None","59","F","GCE B.A",""
"","","NORTH","","","VICKIE","","","","",""
"108","ANAMBRA","ANAMBRA","APM","Senate","ICHOKU ONYEBUCHI","None","42","M","FIRST SCHOOL",""
"","","SOUTH","","","MATHIAS","","","","LEAVING CERTIFICATE",""
GCE MBBS",""
"109","ANAMBRA","ANAMBRA","LP","Senate","UMEH VICTOR","None","60","M","Primary 5, Igwe Amaka",""
"","","CENTRAL","","","CHUKWUNONYELU","","","","Primary School,",""
Aguluzigbo WASC",""
Division 1, Community",""
Secondary School, Adazi",""
B.Sc Honours (Hons),",""
University of Nigeria,",""
Nsukka. (UNN)",""
"110","ANAMBRA","ANAMBRA","LP","Senate","NWOYE TONY OKECHIKWU None","","47","M","FSLC SSCE Degree",""
"","","NORTH","","","","","","","",""
"111","ANAMBRA","ANAMBRA","LP","Senate","UZOH OBINNA","None","59","M","FSLC WASC/GCE LLB,",""
"","","SOUTH","","","CHUKWUDUM","","","","MSC,BL",""
"112","ANAMBRA","ANAMBRA","NNPP","Senate","MBANEFO GEORGE","None","55","M","SSCE",""
"","","SOUTH","","","CHUKWUDUBEM","","","","",""
"113","ANAMBRA","ANAMBRA","NNPP","Senate","MUONEKE  UCHECHUKWU","None","49","M","PRIMARY",""
"","","CENTRAL","","","","","","","CERTIFICATE SSCE",""
"114","ANAMBRA","ANAMBRA","NNPP","Senate","ONUIGBO STEPHEN","None","41","M","WASSE",""
